//////////////////////////////////////////////// SUNNY
// Amb     Dir          Sky top			Sky bot		SunCore 		SunCorona   SunSz  SprSz	SprBght Shdw LightShd  TreeShd FarClp  FogSt	LightOnGround LowCloudsRGB TopCloudRGB BottomCloudRGB
// Midnight
74 74 46   100 100 105  0 0 5			05 05 05	255 255 0        5 0 0      1.0    1.0      1.0		200      100    0	2000.0	100.0	1.0	30 20 0		23 32 33	3 3 3     			152  086  005  80
// 1AM
65  55 45   100 100 107  0 0 5			0 0 15		255 155 0      	255 0 0     1.0    1.0      1.0     200      100    0	2000.0   100.0	1.0	30 20 0		0 0 0		31 42 50			052  086  205  80
// 2AM
65  55 45   100 100 107  0 0 5			0 0 15		255 128 0    	255 128 0   1.0    1.0      1.0     200      100    0	2000.0   100.0	1.0	30 20 0		0 0 0		35 46 50			052  106  255  90
// 3AM
65  55 45   100 100 107  0 0 5  		0 0 15		255 128 0      	255 0 0     1.0    1.0      1.0    	200      100    0	2000.0   100.0	1.0	30 20 0		0 0 0		33 42 50			052  106  255  90
// 4AM
65  55 45   100 100 107  0 0 5  		0 0 0		255 128 0    	255 128 0   1.0    1.0      1.0    	200      100    0	2000.0   100.0	1.0	30 20 0		0 0 0		50 30 0				052  106  255  90
// 5AM
102 74 50   100 100 107  80 80 128  	102 86 58	255 128 0      	255 0 0     8.4    1.0      1.0		150      100    0	2000.0   100.0	1.0	70 27 10	0 0 0		50 43 36			052  106  225  100
// 6AM
124 114 86   180 180 187  90 205 255  	200 144 85	255 128 0    	255 128 0   8.4    1.0      0.9		140		100    0	2000.0   100.0	0.75	100 34 25	50 50 50	120 92 88		050  100  220  100
// 7AM	
124 114 86   205 255 255  90 205 255    187 146 116	255 128 0      	255 0 0     7.4    1.0      0.8		100		50     0	2000.0   100.0	0.5	120 40 40	100 90 100	180 100 100			250  100  020  90
// 8AM
100 90 85   205 255 255  90 205 255   187 184 178	255 128 0    	255 128 0   4.4    1.0      0.7		140		0      0	2000.0   100.0	1.0	120 40 40	180 160 180	159 142 106			050  050  200  100
// 9AM
85 85 85  205 255 255   112 213 255     210 210 210	255 128 0      	255 0 0     4.4    1.0      0.3     140		0      0	2000.0   100.0	1.0	120 40 40	207 227 234	108 96 108			050  050  200  80
// 10AM
85 85 85   255 255 255  90 200 255     	198 218 215	255 128 0    	255 128 0   2.5    1.0      0.3     150		0      0	2000.0   10.0	1.0	120 100 100	230 249 255	90 126 140			050  050  200  80
// 11AM
