//////////////////////////////////////////////////////////////////////////
// SUNNY

// AMBIENT     XXXXXXXX      EMISSION      AMB OBJ      DIR            SKY TOP      SKY BOT       SUNCORE       SUNCORONA   SUNSZ   SPRSZ  SPRBR SHDW LTSHD TREESH FARCLP FOGST LTGRD LOWCLOUDSRGB  TOPCLOUDRGB   BOTCLDRGB     BLURRGB       WATERRGBA
// MIDNIGHT
156 163 171    95  95  95    34  31  40    12  19  25   166 170 241     0   0   0    16  16  29   255 255   0     5   0   0   -1.0    1.3    1.0   254  99   0  859.1   -1.0    1.5    -1  -1  -1    -1  -1  -1    -1  -1  -1     0 243 206    42  49  52  80
// 1AM
 -1  -1  -1    95  95  95    27  24  30    -1  -1  -1    -1  -1  -1    -1  -1  -1    16  17  31   255 155   0   255   0   0   -1.0   -1.0    1.0    -1 100  -1   -1.0   -1.0   -1.0    -1  -1  -1    32  32  32    -1  -1  -1    -1  -1  -1    -1  -1  -1  80
// 2AM
 -1  -1  -1    95  95  95    -1  -1  -1    -1  -1  -1   158 163 213    -1  -1  -1    17  19  33   255 128   0   255 128   0   -1.0   -1.0    1.0    -1 100  -1   -1.0   -1.0   -1.0    -1  -1  -1    -1  -1  -1    -1  -1  -1    -1  -1  -1    -1  -1  -1  90
// 3AM
 -1  -1  -1    95  95  95    41  35  29    -1  -1  -1    -1  -1  -1    -1  -1  -1     1   2   3   255 128   0   255   0   0   -1.0   -1.0    1.0    -1 100  -1   -1.0   -1.0   -1.0    13   5   1    -1  -1  -1    -1  -1  -1    -1  -1  -1    33  34  40  90
// 4AM
161 160 167    95  95  95    49  40  23    25  18  19    -1  -1  -1     6  21  25    18  19  24   255 128   0   255 128   0   -1.0   -1.0    1.0   192 100   0   -1.0   -1.0   -1.0    55  21   7    17  17  30    43  37  36     0 224 217    -1  -1  -1  90
// 5AM
 -1  -1  -1    95  95  95    -1  -1  -1    50  34  34    -1  -1  -1   121 116 129    -1  -1  -1   255 128   0   255   0   0   16.0   -1.0    1.0    -1 100  -1   -1.0   39.9   -1.0    70  27  10    95  86 108   123 104 119    90   4   7   145 111  98 100
// 6AM
 -1  -1  -1    90  90  90    63  47   0    61  50  50    -1  -1  -1    -1  -1  -1   220 128  63   255 128   0   255  35   0   12.5   -1.0    1.0   254 100   0   -1.0   -1.0    0.8   100  34  25   205 205 205    35  27  26    68   0   0    -1  -1  -1 100
// 7AM
 -1  -1  -1    90  90  90    65  50  38    53  45  45   255 223 109    90 206 255    -1  -1  -1    -1  -1  -1   255  70   0   11.6   -1.0    1.0    -1  50 129   -1.0   -1.0    0.5   120  40  40    -1  -1  -1    -1  -1  -1    82  54   1   165 164 215  90
// 8AM
194 192 197   100  90  85    43  31  31    45  41  39    -1  -1  -1    -1  -1  -1    -1  -1  -1    -1  -1  -1   255  98   0   10.6   -1.0    1.0    -1   0  -1   -1.0   -1.0    1.0   120  40  40   180 160 180    51  46  34   147  67   0    -1  -1  -1 100
// 9AM
